"Filename",FingerCode,QualityScore,"OptionalError",Quantized,Resampled,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev
"00002579_J_500_palm_05.png",0,24,NA,0,0,68.36292,171.71766,154,104351,11,7,9,10,18,3,2,6,0,15,0.46258,0.26197,114,154,0.46103,0.03896,163.11323,0,26,14,15,8,0,4,3,3,8,0.68997,0.22445,176.89519,171.71766,6,8,13,17,16,20,8,9,6,1,0.64837,0.17418,5,18,12,24,17,37,35,32,18,13,0.24556,0.25287,0.50182,222.81220,31,54,14,25,50,26,31,40,0,0,1.18042,0.88077
"00002403_J_500_palm_05.png",0,14,NA,0,0,31.77157,222.48678,136,78742,13,8,7,7,5,6,4,3,1,17,0.49204,0.29195,85,136,0.43382,0,217.10497,0,27,18,12,3,4,3,2,2,0,0.65756,0.22384,224.71524,222.48678,7,16,17,14,18,9,0,1,1,0,0.55577,0.16544,3,7,8,14,17,32,28,38,24,21,0.33345,0.33753,0.40181,133.80498,29,42,9,18,48,35,26,50,0,0,1.28025,0.91179
"00002339_N_500_palm_07.png",0,19,NA,0,0,48.87105,214.85632,141,61231,11,13,7,2,4,3,0,1,0,8,0.41331,0.26480,110,141,0.62411,0,211.04863,0,29,8,6,2,1,2,0,0,1,0.44246,0.35552,219.07550,214.85632,3,12,17,12,8,5,0,3,0,0,0.56282,0.14876,6,2,5,9,11,7,15,30,18,27,0.41943,0.37127,0.39025,101.85571,41,35,18,7,56,23,23,29,0,0,1.12189,0.86707
"00002475_J_500_palm_09.png",0,0,NA,0,0,46.23645,199.12231,161,88218,9,10,9,11,7,6,2,1,0,22,0.51801,0.30814,99,161,0.60869,0.00621,193.11710,0,38,17,6,4,5,2,1,2,2,0.63181,0.23982,201.48915,199.12231,22,15,14,9,12,9,3,0,0,0,0.49101,0.19654,6,2,5,8,20,24,33,40,46,41,0.42707,0.33668,0.39211,143.90500,24,50,12,22,44,24,32,56,0,0,1.43549,1.30616
"00002478_S_500_slap_03.png",0,33,NA,0,0,71.65781,179.88669,163,89588,7,9,13,10,13,5,6,3,1,11,0.43473,0.23681,109,163,0.28834,0.04908,172.85674,0,34,14,10,7,3,2,3,4,1,0.60541,0.28938,183.17899,179.88669,13,10,10,9,10,8,8,5,8,1,0.60229,0.21394,12,23,17,17,19,19,13,19,22,45,0.35620,0.38064,0.46032,173.54321,21,65,42,7,87,53,35,44,0,0,1.22325,0.99244
"00001610_plain_500_10.png",0,13,NA,0,0,27.94835,177.54148,189,82258,12,9,11,10,10,7,4,6,2,59,0.64190,0.33130,149,189,0.41798,0.03174,160.21072,0,56,27,10,10,4,7,6,4,6,0.62138,0.28123,179.68567,177.54148,22,15,18,13,8,11,14,12,17,0,0.59800,0.21988,20,14,13,17,20,43,49,69,57,40,0.36902,0.36129,0.47516,178.18720,38,45,17,45,79,47,37,67,0,0,1.30679,1.04058
"00002584_Q_500_palm_03.png",0,41,NA,0,0,51.25115,211.54096,226,118450,17,18,9,15,13,6,5,4,1,11,0.40261,0.21977,102,226,0.48230,0,207.94509,0,38,9,18,10,10,6,6,1,1,0.60013,0.30722,215.46464,211.54096,8,14,24,21,16,21,8,4,0,0,0.60161,0.14636,22,25,18,27,26,45,34,33,25,32,0.27656,0.32872,0.43814,222.57722,32,65,41,24,90,54,49,55,0,0,1.24340,0.95370
"00001574_plain_500_05.png",0,43,NA,0,0,45.14658,149.90272,66,51953,4,5,4,5,2,6,6,5,2,15,0.54344,0.29077,62,66,0.12121,0.22727,120.65095,0,11,2,4,6,2,6,8,5,10,0.74426,0.22260,153.16420,149.90272,3,2,11,2,3,6,12,14,16,3,0.72982,0.17138,8,17,23,22,17,17,11,13,7,9,0.18944,0.26707,0.65643,150.97924,12,37,10,16,32,25,34,36,0,0,1.28454,0.85269
"00001428_plain_500_07.png",0,47,NA,0,0,37.97752,184.92887,88,112667,3,4,7,10,6,9,10,17,14,25,0.55755,0.26046,31,88,0.26136,0.29545,174.50764,0,13,7,7,9,3,9,14,12,31,0.76109,0.24169,185.91198,184.92887,3,6,6,9,9,8,13,17,31,10,0.75132,0.16934,29,16,11,5,9,7,26,28,27,38,0.38676,0.40678,0.60496,289.78011,13,29,17,38,91,51,25,18,0,0,1.14328,0.85057
"00002349_R_500_slap_07.png",0,6,NA,0,0,87.82206,160.87760,152,85214,8,11,11,8,2,5,6,2,0,14,0.46734,0.27942,99,152,0.51973,0.01973,151.01851,0,21,14,11,9,3,7,0,1,1,0.67565,0.21882,164.78139,160.87760,5,14,23,13,8,8,6,2,0,0,0.57054,0.15122,9,9,13,13,12,30,29,35,23,21,0.31863,0.33047,0.39622,144.62143,32,43,8,18,37,26,32,42,0,0,1.26174,1.04322
"00002502_Q_500_palm_05.png",0,21,NA,0,0,81.34499,139.13674,61,66114,3,10,4,6,5,6,3,3,2,11,0.48832,0.26915,54,61,0.77049,0.06557,126.93701,0,18,7,5,5,5,6,4,2,1,0.73135,0.12532,149.46691,139.13674,8,10,9,8,6,7,8,7,1,0,0.59346,0.19895,8,7,5,8,6,20,20,30,21,13,0.31687,0.27235,0.46071,128.53954,17,34,8,22,34,25,27,39,0,0,1.43200,1.43022
"00001723_plain_500_05.png",0,70,NA,0,0,36.05596,170.41636,57,73809,10,6,9,8,12,5,11,12,10,34,0.56347,0.29484,30,57,0.21052,0.45614,148.06401,0,35,7,6,6,8,15,8,13,19,0.62586,0.34842,173.63067,170.41636,6,6,8,8,9,11,11,17,28,13,0.73752,0.18416,21,28,34,31,27,18,18,17,15,23,0.22684,0.33434,0.68289,221.25776,14,31,44,29,123,64,27,28,0,0,1.20138,1.02967
"00002361_R_500_slap_03.png",0,51,NA,0,0,78.02251,176.93381,128,102741,11,11,21,7,9,6,10,12,0,7,0.39788,0.18445,78,128,0.69531,0.03906,169.14826,0,38,13,13,14,5,6,1,3,1,0.65028,0.24456,181.39259,176.93381,11,14,18,20,11,6,9,6,4,3,0.59523,0.18898,23,30,25,23,18,30,31,36,31,20,0.26391,0.32576,0.45068,191.08920,27,68,34,27,98,57,42,47,0,0,1.18200,0.79856
"00002484_Q_500_palm_05.png",0,15,NA,0,0,64.36050,181.39360,66,51436,8,6,4,5,5,3,3,1,0,6,0.42390,0.24542,58,66,0.48484,0.07575,175.73071,0,16,11,4,1,2,1,4,0,2,0.64795,0.24993,188.81011,181.39360,0,10,8,10,2,6,1,3,6,1,0.63862,0.15526,10,5,7,11,11,7,13,11,10,12,0.28686,0.33328,0.45179,99.39561,13,26,7,10,31,15,21,31,0,0,1.42575,1.23147
"00002504_S_500_slap_06.png",0,90,NA,0,0,79.62198,175.02184,87,168195,3,4,9,17,18,20,15,33,12,10,0.44950,0.16859,36,87,0.58620,0.24137,166.67023,0,15,9,10,15,22,20,19,17,14,0.77363,0.16211,176.28920,175.02184,9,14,12,16,20,23,15,17,20,7,0.68387,0.18236,55,37,42,24,38,35,43,44,45,44,0.28136,0.35909,0.52426,361.74148,22,55,29,77,140,67,63,34,0,0,1.15977,0.87416
"00001308_plain_500_08.png",0,68,NA,0,0,38.29277,179.95742,44,104494,5,7,4,12,9,12,14,16,26,12,0.48427,0.20002,16,44,0.43181,0.59090,161.90696,0,9,3,5,1,8,5,17,13,56,0.80812,0.21151,180.62681,179.95742,2,11,6,9,6,17,15,19,40,25,0.77632,0.15270,48,78,67,48,25,25,8,20,14,14,0.13514,0.24430,0.71617,323.71218,11,18,11,42,108,36,23,15,0,0,1.14347,0.65404
"00001655_plain_500_04.png",0,43,NA,0,0,39.87812,182.44182,147,119150,9,19,18,14,18,6,9,12,0,24,0.46904,0.26095,89,147,0.13605,0.02721,157.98114,0,23,17,19,9,11,20,15,6,9,0.72324,0.21917,183.89494,182.44182,15,18,16,17,29,31,19,13,5,2,0.63919,0.17425,50,24,24,24,26,26,35,33,49,55,0.36386,0.43002,0.53448,277.39708,35,74,47,32,87,67,59,60,0,0,1.20679,0.94792
"00002383_J_500_palm_05.png",0,46,NA,0,0,53.86116,196.04343,75,69884,7,3,6,6,12,5,6,4,4,6,0.43139,0.20425,40,75,0.52000,0.06666,185.78560,0,6,10,11,8,4,6,9,3,2,0.75442,0.15101,196.89281,196.04343,2,7,9,11,8,10,9,5,4,1,0.66242,0.15231,16,9,17,14,30,23,14,18,8,7,0.18705,0.22151,0.49394,145.22017,15,29,13,16,51,33,31,20,0,0,1.20580,0.85998
